 BadLandings	124	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	272,5°]		 Bad Chance	0,0408350100934924%
 BadLandings	125	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	273°]		 Bad Chance	0,0411318159532216%
 BadLandings	126	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	273,5°]		 Bad Chance	0,0414281533893819%
 BadLandings	127	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	274°]		 Bad Chance	0,0417240235100088%
 BadLandings	128	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	274,5°]		 Bad Chance	0,0420194274196461%
 BadLandings	129	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	275°]		 Bad Chance	0,042314366219359%
 BadLandings	130	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	275,5°]		 Bad Chance	0,0426088410067486%
 BadLandings	131	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	276°]		 Bad Chance	0,0429028528759649%
 BadLandings	132	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	276,5°]		 Bad Chance	0,0431964029177207%
 BadLandings	133	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	277°]		 Bad Chance	0,0434894922193048%
 BadLandings	134	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	277,5°]		 Bad Chance	0,0437821218645956%
 BadLandings	135	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	278°]		 Bad Chance	0,0440742929340747%
 BadLandings	136	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	278,5°]		 Bad Chance	0,0443660065048395%
 BadLandings	137	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	279°]		 Bad Chance	0,0446572636506172%
 BadLandings	138	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	279,5°]		 Bad Chance	0,0449480654417776%
 BadLandings	139	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	280°]		 Bad Chance	0,0452384129453461%
 BadLandings	140	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	280,5°]		 Bad Chance	0,0455283072250172%
 BadLandings	141	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	281°]		 Bad Chance	0,0458177493411668%
